model,error_method,method,target,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_10,coverage_20,coverage_30,coverage_40,coverage_50,coverage_60,coverage_70,coverage_80,coverage_90,qucoverage_5,qucoverage_10,qucoverage_15,qucoverage_20,qucoverage_25,qucoverage_30,qucoverage_35,qucoverage_40,qucoverage_45,qucoverage_55,qucoverage_60,qucoverage_65,qucoverage_70,qucoverage_75,qucoverage_80,qucoverage_85,qucoverage_90,qucoverage_95
IMF,absolute,rolling window,ngdp_rpch,0.818993376932806,0.236545662833939,0.140627066276436,0.44182064782243,3.52979130412013,6.58858366857086,4.38864424609947,0.195945945945946,0.266891891891892,0.371621621621622,0.472972972972973,0.567567567567568,0.648648648648649,0.70945945945946,0.766891891891892,0.837837837837838,0.0878378378378378,0.121621621621622,0.152027027027027,0.185810810810811,0.219594594594595,0.273648648648649,0.347972972972973,0.408783783783784,0.452702702702703,0.648648648648649,0.675675675675676,0.719594594594595,0.746621621621622,0.787162162162162,0.83445945945946,0.861486486486487,0.888513513513514,0.925675675675676
IMF,absolute,rolling window,pcpi_pch,0.643607610073866,0.179678193773387,0.365040700780535,0.0988887155199432,2.71931039694666,4.83257959922381,3.38260589818676,0.128378378378378,0.209459459459459,0.320945945945946,0.408783783783784,0.5,0.554054054054054,0.638513513513514,0.712837837837838,0.783783783783784,0.0641891891891892,0.111486486486486,0.165540540540541,0.236486486486487,0.260135135135135,0.317567567567568,0.368243243243243,0.442567567567568,0.476351351351351,0.60472972972973,0.652027027027027,0.689189189189189,0.726351351351351,0.760135135135135,0.790540540540541,0.804054054054054,0.824324324324324,0.847972972972973
ar,absolute,rolling window,ngdp_rpch,1.11953115628678,0.40288350085787,0.0818554050648467,0.634792250364068,4.71511788166062,8.2529648247411,5.78810334374796,0.185810810810811,0.277027027027027,0.337837837837838,0.422297297297297,0.52027027027027,0.621621621621622,0.706081081081081,0.800675675675676,0.841216216216216,0.135135135135135,0.168918918918919,0.253378378378378,0.327702702702703,0.425675675675676,0.513513513513514,0.587837837837838,0.635135135135135,0.70945945945946,0.89527027027027,0.912162162162162,0.925675675675676,0.935810810810811,0.945945945945946,0.949324324324324,0.959459459459459,0.969594594594595,0.976351351351351
ar,absolute,rolling window,pcpi_pch,0.780993584295559,0.335025148290237,0.211038145290141,0.234930290715181,3.33293001226453,4.82563816353708,3.69564200277651,0.128378378378378,0.195945945945946,0.266891891891892,0.341216216216216,0.425675675675676,0.523648648648649,0.591216216216216,0.679054054054054,0.763513513513514,0.114864864864865,0.185810810810811,0.260135135135135,0.300675675675676,0.378378378378378,0.442567567567568,0.47972972972973,0.530405405405405,0.581081081081081,0.70945945945946,0.726351351351351,0.746621621621622,0.783783783783784,0.804054054054054,0.824324324324324,0.851351351351351,0.864864864864865,0.878378378378378
ar_bic,absolute,rolling window,ngdp_rpch,1.07967583605682,0.360232720087538,0.106230959389102,0.613212156580177,4.57324995453177,8.14827022608938,5.65837630920554,0.182432432432432,0.260135135135135,0.341216216216216,0.425675675675676,0.530405405405405,0.635135135135135,0.726351351351351,0.804054054054054,0.847972972972973,0.128378378378378,0.162162162162162,0.22972972972973,0.310810810810811,0.408783783783784,0.489864864864865,0.567567567567568,0.635135135135135,0.689189189189189,0.871621621621622,0.89527027027027,0.908783783783784,0.915540540540541,0.939189189189189,0.945945945945946,0.956081081081081,0.966216216216216,0.976351351351351
ar_bic,absolute,rolling window,pcpi_pch,0.68738852645912,0.199382711957838,0.317669200516021,0.170336613985261,2.93033863300433,4.89546905261956,3.49109410905291,0.138513513513514,0.189189189189189,0.239864864864865,0.317567567567568,0.371621621621622,0.483108108108108,0.577702702702703,0.64527027027027,0.760135135135135,0.0912162162162162,0.158783783783784,0.199324324324324,0.266891891891892,0.334459459459459,0.371621621621622,0.408783783783784,0.439189189189189,0.472972972972973,0.611486486486487,0.628378378378378,0.648648648648649,0.689189189189189,0.706081081081081,0.75,0.777027027027027,0.804054054054054,0.851351351351351
bvar,absolute,rolling window,ngdp_rpch,1.07258962541495,0.300343115178738,0.0984646227715247,0.673781887464684,4.57001809622231,8.34282257862088,5.71824161039853,0.155405405405405,0.243243243243243,0.304054054054054,0.405405405405405,0.513513513513514,0.608108108108108,0.716216216216216,0.780405405405405,0.837837837837838,0.141891891891892,0.199324324324324,0.25,0.341216216216216,0.412162162162162,0.510135135135135,0.581081081081081,0.628378378378378,0.689189189189189,0.844594594594595,0.871621621621622,0.885135135135135,0.915540540540541,0.925675675675676,0.949324324324324,0.966216216216216,0.97972972972973,0.97972972972973
bvar,absolute,rolling window,pcpi_pch,0.69827172795687,0.233719839760645,0.291707097673631,0.172844790522593,2.96365406574533,4.80882190393707,3.48700796974113,0.14527027027027,0.216216216216216,0.256756756756757,0.327702702702703,0.391891891891892,0.503378378378378,0.608108108108108,0.662162162162162,0.77027027027027,0.0912162162162162,0.185810810810811,0.219594594594595,0.27027027027027,0.351351351351351,0.39527027027027,0.432432432432432,0.456081081081081,0.506756756756757,0.652027027027027,0.672297297297297,0.689189189189189,0.722972972972973,0.743243243243243,0.773648648648649,0.827702702702703,0.847972972972973,0.861486486486487
bvar_const,absolute,rolling window,ngdp_rpch,1.03942231757246,0.325795793241253,0.127889612444606,0.585736911886603,4.41661108787644,8.00387637826712,5.49710512180118,0.175675675675676,0.246621621621622,0.327702702702703,0.432432432432432,0.530405405405405,0.662162162162162,0.733108108108108,0.810810810810811,0.847972972972973,0.125,0.148648648648649,0.209459459459459,0.273648648648649,0.385135135135135,0.469594594594595,0.554054054054054,0.608108108108108,0.662162162162162,0.837837837837838,0.85472972972973,0.881756756756757,0.902027027027027,0.915540540540541,0.935810810810811,0.942567567567568,0.959459459459459,0.972972972972973
bvar_const,absolute,rolling window,pcpi_pch,0.761917840352884,0.313016904379021,0.231295522940813,0.217605413033049,3.24312812335223,4.80456816145143,3.64373637115627,0.114864864864865,0.175675675675676,0.273648648648649,0.337837837837838,0.39527027027027,0.513513513513514,0.611486486486487,0.685810810810811,0.783783783783784,0.0878378378378378,0.175675675675676,0.239864864864865,0.304054054054054,0.391891891891892,0.435810810810811,0.462837837837838,0.530405405405405,0.567567567567568,0.682432432432433,0.706081081081081,0.736486486486487,0.773648648648649,0.787162162162162,0.817567567567568,0.851351351351351,0.861486486486487,0.871621621621622
bvar_mix,absolute,rolling window,ngdp_rpch,1.01208533523709,0.302914395143905,0.129430761326739,0.579740178766441,4.30678837311323,7.80076681629453,5.36098431952246,0.155405405405405,0.256756756756757,0.314189189189189,0.418918918918919,0.533783783783784,0.64527027027027,0.726351351351351,0.807432432432433,0.861486486486487,0.111486486486486,0.155405405405405,0.219594594594595,0.293918918918919,0.375,0.476351351351351,0.547297297297297,0.591216216216216,0.665540540540541,0.820945945945946,0.847972972972973,0.861486486486487,0.89527027027027,0.908783783783784,0.939189189189189,0.945945945945946,0.962837837837838,0.972972972972973
bvar_mix,absolute,rolling window,pcpi_pch,0.673796038352562,0.253984387557472,0.237843647117584,0.181968003677506,2.86845698336267,4.45000745579844,3.28685043553493,0.141891891891892,0.219594594594595,0.263513513513514,0.334459459459459,0.402027027027027,0.516891891891892,0.618243243243243,0.675675675675676,0.777027027027027,0.097972972972973,0.189189189189189,0.233108108108108,0.283783783783784,0.35472972972973,0.398648648648649,0.432432432432432,0.466216216216216,0.513513513513514,0.655405405405405,0.685810810810811,0.695945945945946,0.733108108108108,0.756756756756757,0.800675675675676,0.851351351351351,0.864864864864865,0.875
mean_ensemble,absolute,rolling window,ngdp_rpch,0.910628959373464,0.321741652311021,0.0834027569311123,0.50548455013133,3.86596521283083,7.05678463185581,4.80496412967809,0.185810810810811,0.304054054054054,0.39527027027027,0.52027027027027,0.631756756756757,0.70945945945946,0.783783783783784,0.824324324324324,0.875,0.0912162162162162,0.135135135135135,0.172297297297297,0.236486486486487,0.300675675675676,0.388513513513514,0.486486486486487,0.560810810810811,0.648648648648649,0.83445945945946,0.864864864864865,0.881756756756757,0.908783783783784,0.932432432432432,0.945945945945946,0.956081081081081,0.959459459459459,0.966216216216216
mean_ensemble,absolute,rolling window,pcpi_pch,0.670404367976484,0.275906748814215,0.239601205680683,0.154896413481585,2.86338805201202,4.3310502378577,3.25270695760822,0.135135135135135,0.216216216216216,0.341216216216216,0.422297297297297,0.476351351351351,0.557432432432433,0.64527027027027,0.739864864864865,0.841216216216216,0.0540540540540541,0.125,0.185810810810811,0.260135135135135,0.324324324324324,0.35472972972973,0.402027027027027,0.5,0.564189189189189,0.699324324324324,0.716216216216216,0.743243243243243,0.777027027027027,0.800675675675676,0.817567567567568,0.831081081081081,0.864864864864865,0.89527027027027
